start,end,VI,Jaccord,Overlap,Dice,p-value
0,0,NaN,0,1,0,0
0,9,0,0,1,0,0
0,20,0.052412584354943136,0.16666666666666663,1,0.09090909090909094,0
0,29,0.06470100638038445,0.25,0.8571428571428571,0.1428571428571429,0
0,39,0.044741410548083706,0.19999999999999996,0.8888888888888888,0.11111111111111116,0
1,9,0,0,1,0,0
1,20,0.055929515137648746,0.19999999999999996,1,0.11111111111111116,0
1,29,0.067605940094939,0.2857142857142857,0.8333333333333334,0.16666666666666663,0
1,39,0.04620574913955499,0.2222222222222222,0.875,0.125,0
10,20,0.12704312019170216,0.33333333333333337,1,0.19999999999999996,0
10,29,0.11018719634989303,0.4,0.75,0.25,0
10,39,0.06470100638038445,0.2857142857142857,0.8333333333333334,0.16666666666666663,0
21,29,0,0.5,1,0.33333333333333337,0
21,39,0,0.25,1,0.1428571428571429,0
30,39,0,0,1,0,0
0,0,NaN,0,1,0,0
0,9,0,0,1,0,0
0,19,0,0.19999999999999996,1,0.11111111111111116,0
0,29,0.06470100638038445,0.25,0.8571428571428571,0.1428571428571429,0
0,39,0.044741410548083706,0.19999999999999996,0.8888888888888888,0.11111111111111116,0
1,9,0,0,1,0,0
1,19,0,0.25,1,0.1428571428571429,0
1,29,0.067605940094939,0.2857142857142857,0.8333333333333334,0.16666666666666663,0
1,39,0.04620574913955499,0.2222222222222222,0.875,0.125,0
10,19,0,0.5,1,0.33333333333333337,0
10,29,0.11018719634989303,0.4,0.75,0.25,0
10,39,0.06470100638038445,0.2857142857142857,0.8333333333333334,0.16666666666666663,0
20,29,0.14118174150460774,0.33333333333333337,1,0.19999999999999996,0
20,39,0.05425768121224431,0.19999999999999996,1,0.11111111111111116,0
30,39,0,0,1,0,0
